Date,AssetType,AssetID,TransactionType,Quantity,Value,OptionID,OptionSplitID
2019-06-27,Share,TSLA,Purchase,68.00,"21,726.37",,
2019-07-26,Share,TSLA,Purchase,30.00,"11,292.15",,
2020-01-13,Share,TSLA,Purchase,2.00,"1,468.64",,
2020-01-29,Option,TSLA,Purchase,100.00,"19,706.16",99QAQYWNX,
2020-06-24,Share,TSLA,Purchase,6.00,"8,758.92",,
2020-07-24,Share,TSLA,Purchase,3.00,"6,855.37",,
2020-08-31,Option,TSLA,Split,5.00,0.00,99QAQYWNX,99QATF3EK
2020-09-02,Share,TSLA,Split,5.00,0.00,,
2020-09-08,Share,TSLA,Purchase,25.00,"14,587.73",,
2021-01-29,Share,GME,Purchase,1.00,426.91,,
2021-03-12,Share,TSLA,Purchase,7.00,"6,078.92",,
2021-06-28,Option,TSLA,Option_Sale,300.00,"218,685.09",99QATF3EK,
2021-08-04,Option,TSLA,Purchase,200.00,"39,603.89",99QAVOEFC,
2021-09-28,Option,TSLA,Purchase,200.00,"62,625.48",99QAWWHAQ,
2021-09-30,Option,TSLA,Purchase,300.00,"125,558.48",99QAWWHAB,
2022-01-18,Option,TSLA,Exercise,200.00,0.00,99QATF3EK,
2022-01-20,Share,TSLA,FIFO_Sale,24.00,"33,947.73",,
2022-07-26,Share,GME,Split,4.00,0.00,,
2022-08-25,Option,TSLA,Split,3.00,0.00,99QAVOEFC,99QAOCIPK
2022-08-25,Option,TSLA,Split,3.00,0.00,99QAWWHAB,99QAOCIVT
2022-08-25,Option,TSLA,Split,3.00,0.00,99QAWWHAQ,99QAOCIV8
2022-08-29,Share,TSLA,Split,3.00,0.00,,
2023-05-17,Option,TSLA,Option_Sale,900.00,"18,885.37",99QAOCIVT,
2023-05-17,Option,TSLA,Option_Sale,600.00,"5,322.59",99QAOCIV8,
2023-06-08,Option,TSLA,Option_Sale,600.00,35.52,99QAOCIPK,
2022-01-18,Share,TSLA,Exercise,200.00,"32,558.31",99QATF3EK,
