Date,AssetType,AssetID,TransactionType,Quantity,Value,OptionID,OptionSplitID
28/06/2019,Share,TSLA,Purchase,27,8583.19,,
6/09/2019,Share,TSLA,Purchase,990,329616.29,,
24/09/2019,Share,TSLA,Purchase,21,7552.03,,
26/09/2019,Share,TSLA,Purchase,89,30541.56,,
18/10/2019,Share,TSLA,Sell,500,189609.23,,
21/10/2019,Share,TSLA,Sell,600,225796.37,,
28/10/2019,Share,TSLA,Purchase,869,415297.27,,
30/10/2019,Share,TSLA,Purchase,4,1842.8,,
4/11/2019,Share,TSLA,Purchase,5,2313.93,,
4/11/2019,Share,TSLA,Sell,2,893.03,,
5/11/2019,Share,TSLA,Purchase,4,1889.04,,
6/11/2019,Share,TSLA,Purchase,4,1886.48,,
7/11/2019,Share,TSLA,Purchase,19,9419.43,,
8/11/2019,Share,TSLA,Purchase,1,522.25,,
26/11/2019,Share,TSLA,Purchase,19,9467.43,,
13/03/2020,Share,TSLA,Sell,325,322680.65,,
17/03/2020,Share,TSLA,Sell,200,149651,,
18/03/2020,Share,TSLA,Sell,425,282832.32,,
24/03/2020,Share,TSLA,Purchase,335,266062.12,,
25/03/2020,Share,TSLA,Purchase,300,269852.92,,
9/04/2020,Share,TSLA,Sell,200,175574.98,,
13/04/2020,Share,TSLA,Sell,100,93075.25,,
13/04/2020,Share,TSLA,Sell,120,118033.09,,
14/04/2020,Share,TSLA,Sell,100,110390.01,,
20/04/2020,Share,TSLA,Purchase,135,161892.34,,
4/05/2020,Share,TSLA,Purchase,200,218759.29,,
13/07/2020,Share,TSLA,Purchase,10,23704.91,,
31/08/2020,Share,TSLA,Split,5,0,,
17/02/2021,Share,TSLA,Sell,125,123368.33,,
29/04/2021,Share,TSLA,Sell,190,170859.45,,
26/11/2021,Share,TSLA,Sell,80,123690.88,,
4/01/2022,Share,TSLA,Exercise,3300,1793004.38,99QATF3IF,
24/01/2022,Share,TSLA,Purchase,160,202889.88,,
9/06/2022,Share,TSLA,Exercise,100,45915.9996,99QARFBHX,
29/08/2022,Share,TSLA,Split,3,0,,
6/09/2022,Share,TSLA,Exercise,300,105112.95,99QAS4PL6,
4/01/2023,Share,TSLA,Sell,3500,557669.54,,
24/01/2023,Share,TSLA,Purchase,1200,243139.73,,
30/01/2023,Share,TSLA,Purchase,920,208541.03,,
24/03/2020,Option,TSLA,Purchase,100,7853.8,99QARMJH7,
14/04/2020,Option,TSLA,Purchase,1000,109763.48,99QARMPQW,
31/08/2020,Option,TSLA,Split,5,0,99QARMJH7,99QARFBHX
31/08/2020,Option,TSLA,Split,5,0,99QARMPQW,99QATF3IF
8/09/2020,Option,TSLA,Purchase,200,31526.46,99QAS4PMA,
23/02/2021,Option,TSLA,Purchase,400,102066.43,99QAUG4BN,
22/03/2021,Option,TSLA,Purchase,100,28829.35,99QARGAHL,
4/01/2022,Option,TSLA,Sell,1700,1897394.84,99QATF3IF,
4/01/2022,Option,TSLA,Exercise,3300,0,99QATF3IF,
9/06/2022,Option,TSLA,Sell,100,7448.18,99QARGAHL,
9/06/2022,Option,TSLA,Exercise,100,0,99QARFBHX,
10/06/2022,Option,TSLA,Sell,400,232254.54,99QARFBHX,
25/08/2022,Option,TSLA,Split,3,0,99QAS4PMA,99QAS4PL6
25/08/2022,Option,TSLA,Split,3,0,99QAUG4BN,99QA0CIJ3
6/09/2022,Option,TSLA,Exercise,300,0,99QAS4PL6,
6/09/2022,Option,TSLA,Sell,300,31071.66,99QAS4PL6,
20/10/2020,Option,NIO,Purchase,1000,10216.72,99QATTYNX,
11/03/2021,Option,NIO,Sell,1000,7098.71,99QATTYNX,
20/03/2023,Option,TSLA,Expire,1200,0,99QA0CIJ3,
24/03/2020,Share,NIO,Purchase,310,1297.68,,
13/07/2020,Share,NIO,Purchase,700,15214.08,,
