Date,AssetType,AssetID,TransactionType,Quantity,Value,OptionID,OptionSplitID
23/04/2020,Share,QAN,Buy,245,889.35,,
12/05/2020,Share,VAS,Buy,14,971.38,,
9/06/2020,Share,FLT,Buy,71,993.29,,
17/07/2020,Share,VTS,Buy,5,1171.5,,
24/08/2020,Share,VEU,Buy,13,940.95,,
1/10/2020,Share,VAS,Buy,11,831.42,,
10/11/2020,Share,QAN,Buy,157,814.13,,
19/01/2021,Share,VTS,Buy,3,781.97,,
21/05/2021,Share,VAS,Buy,10,915.7,,
20/07/2021,Share,VAS,Buy,17,1582,,
18/10/2021,Share,VAS,Buy,1,0,,
7/01/2022,Share,FLT,FIFO_Sale,71,1267.35,,
7/01/2022,Share,VEU,Buy,11,945.45,,
31/01/2022,Share,VTS,FIFO_Sale,2,625.26,,
28/02/2022,Share,VTS,Buy,4,1217.38,,
15/03/2022,Share,VEU,Buy,15,1140.35,,
20/04/2022,Share,VAS,Buy,1,0,,
10/06/2022,Share,VTS,Buy,6,1713.14,,
18/07/2022,Share,VAS,Buy,2,0,,
17/08/2022,Share,VEU,Buy,16,1211.74,,
18/10/2022,Share,VAS,Buy,1,0,,
1/12/2022,Share,VEU,Buy,19,1467.75,,
17/01/2023,Share,TSLA,Buy,7,1366.244344,,
18/01/2023,Share,QAN,FIFO_Sale,402,2655.76,,
18/01/2023,Share,VAS,FIFO_Sale,57,5212.27,,
18/01/2023,Share,VEU,FIFO_Sale,74,5701.08,,
18/01/2023,Share,VTS,FIFO_Sale,16,4580.32,,
23/01/2023,Share,TSLA,Buy,87,18251.2368,,
23/01/2023,Share,TSLA,Buy,2,433.453997,,
3/02/2023,Share,TSLA,Buy,4,1120.81448,,
7/03/2023,Share,TSLA,Buy,3,892.1568627,,
7/06/2023,Share,TSLA,FIFO_Sale,103,35443.93665,,
14/06/2023,Share,NVDA,Buy,12,7487.179487,,
14/06/2023,Share,TSLA,Buy,36,14223.83107,,
15/06/2023,Share,TSLA,FIFO_Sale,18,6929.84917,,
15/06/2023,Share,TSLA,FIFO_Sale,18,6904.208145,,
15/06/2023,Share,GD,Buy,22,7098.778281,,
15/06/2023,Share,DIS,Buy,41,5714.509804,,
15/06/2023,Share,DIS,Buy,9,1254.871795,,
23/06/2023,Share,QAN,Buy,797,4974.81,,
